,brightness,sigma,activation,trace,threshold,effective_charge_per_second,amplitude,stim_condition,time
4424,0.11761370301246643,0.0,5.439984018806854e-10,7.367886610154528e-06,0.0,0.0,0.0,8,0.848
4425,0.11759423464536667,0.0,5.342064568480964e-10,7.367879334196914e-06,0.0,0.0,0.0,8,0.85
4426,0.11757512390613556,0.0,5.245907597206667e-10,7.3678720582393e-06,0.0,0.0,0.0,8,0.852
4427,0.1175563707947731,0.0,5.151481463627761e-10,7.367864782281686e-06,0.0,0.0,0.0,8,0.854
4428,0.11753794550895691,0.0,5.058754526388043e-10,7.3678575063240714e-06,0.0,0.0,0.0,8,0.856
4429,0.11751984804868698,0.0,4.967696809465849e-10,7.367850230366457e-06,0.0,0.0,0.0,8,0.858
4430,0.11750209331512451,0.0,4.878278336839514e-10,7.367842954408843e-06,0.0,0.0,0.0,8,0.86
4431,0.11748463660478592,0.0,4.790469132487374e-10,7.367835678451229e-06,0.0,0.0,0.0,8,0.862
4432,0.11746751517057419,0.0,4.704240885722299e-10,7.367828402493615e-06,0.0,0.0,0.0,8,0.864
4433,0.11745073646306992,0.0,4.619564453189895e-10,7.3678211265360005e-06,0.0,0.0,0.0,8,0.866
4434,0.11743420362472534,0.0,4.536412356870301e-10,7.367813850578386e-06,0.0,0.0,0.0,8,0.868
4435,0.11741799116134644,0.0,4.4547568411879013e-10,7.367806574620772e-06,0.0,0.0,0.0,8,0.87
4436,0.1174021065235138,0.0,4.3745712607901055e-10,7.367799298663158e-06,0.0,0.0,0.0,8,0.872
4437,0.11738646775484085,0.0,4.2958289703243224e-10,7.367792022705544e-06,0.0,0.0,0.0,8,0.874
4438,0.11737111955881119,0.0,4.2185041571052295e-10,7.36778474674793e-06,0.0,0.0,0.0,8,0.876
4439,0.1173560693860054,0.0,4.142571008447504e-10,7.367777470790315e-06,0.0,0.0,0.0,8,0.878
4440,0.11734127998352051,0.0,4.0680048218888487e-10,7.367770194832701e-06,0.0,0.0,0.0,8,0.88
4441,0.1173267588019371,0.0,3.994780617411209e-10,7.367762918875087e-06,0.0,0.0,0.0,8,0.882
4442,0.1173124760389328,0.0,3.922874525219555e-10,7.367755642917473e-06,0.0,0.0,0.0,8,0.884
4443,0.11729849129915237,0.0,3.8522626755188583e-10,7.367748366959859e-06,0.0,0.0,0.0,8,0.886
4444,0.11728473752737045,0.0,3.782922031181357e-10,7.3677410910022445e-06,0.0,0.0,0.0,8,0.888
4445,0.11727122962474823,0.0,3.714829555079291e-10,7.36773381504463e-06,0.0,0.0,0.0,8,0.89
4446,0.1172579824924469,0.0,3.6479624876406547e-10,7.367726539087016e-06,0.0,0.0,0.0,8,0.892
4447,0.11724495142698288,0.0,3.582299179516468e-10,7.367719263129402e-06,0.0,0.0,0.0,8,0.894
4448,0.11723217368125916,0.0,3.5178177038019953e-10,7.367711987171788e-06,0.0,0.0,0.0,8,0.896
4449,0.11721961945295334,0.0,3.454496966259768e-10,7.367704711214174e-06,0.0,0.0,0.0,8,0.898
4450,0.11720731109380722,0.0,3.3923161502080745e-10,7.367697435256559e-06,0.0,0.0,0.0,8,0.9
4451,0.11719519644975662,0.0,3.331254438965203e-10,7.367690159298945e-06,0.0,0.0,0.0,8,0.902
4452,0.11718330532312393,0.0,3.271291848516711e-10,7.367682883341331e-06,0.0,0.0,0.0,8,0.904
4453,0.11717166006565094,0.0,3.2124086724039103e-10,7.367675607383717e-06,0.0,0.0,0.0,8,0.906
4454,0.11716019362211227,0.0,3.1545852041681144e-10,7.367668331426103e-06,0.0,0.0,0.0,8,0.908
4455,0.11714895069599152,0.0,3.0978025700179046e-10,7.3676610554684885e-06,0.0,0.0,0.0,8,0.91
4456,0.11713790148496628,0.0,3.0420421737176184e-10,7.367653779510874e-06,0.0,0.0,0.0,8,0.912
4457,0.11712706089019775,0.0,2.9872854190315934e-10,7.36764650355326e-06,0.0,0.0,0.0,8,0.914
4458,0.11711640655994415,0.0,2.9335142648356793e-10,7.367639227595646e-06,0.0,0.0,0.0,8,0.916
4459,0.11710594594478607,0.0,2.8807109475614823e-10,7.367631951638032e-06,0.0,0.0,0.0,8,0.918
4460,0.1170956939458847,0.0,2.8288582587521205e-10,7.3676246756804176e-06,0.0,0.0,0.0,8,0.92
4461,0.11708559840917587,0.0,2.777938712394956e-10,7.367617399722803e-06,0.0,0.0,0.0,8,0.922
4462,0.11707568913698196,0.0,2.727935932700376e-10,7.367610123765189e-06,0.0,0.0,0.0,8,0.924
4463,0.11706598103046417,0.0,2.6788329887672546e-10,7.367602847807575e-06,0.0,0.0,0.0,8,0.926
4464,0.11705643683671951,0.0,2.630614059917491e-10,7.367595571849961e-06,0.0,0.0,0.0,8,0.928
4465,0.11704704165458679,0.0,2.583263047917228e-10,7.367588295892347e-06,0.0,0.0,0.0,8,0.93
4466,0.11703785508871078,0.0,2.536764409644121e-10,7.3675810199347325e-06,0.0,0.0,0.0,8,0.932
4467,0.11702881753444672,0.0,2.4911026019758253e-10,7.367573743977118e-06,0.0,0.0,0.0,8,0.934
4468,0.11701995134353638,0.0,2.4462626369015084e-10,7.367566468019504e-06,0.0,0.0,0.0,8,0.936
4469,0.11701122671365738,0.0,2.402229803966094e-10,7.36755919206189e-06,0.0,0.0,0.0,8,0.938
4470,0.1170026883482933,0.0,2.3589896702702617e-10,7.367551916104276e-06,0.0,0.0,0.0,8,0.94
4471,0.11699428409337997,0.0,2.3165278029146918e-10,7.3675446401466615e-06,0.0,0.0,0.0,8,0.942
4472,0.11698600649833679,0.0,2.2748303241115764e-10,7.367537364189047e-06,0.0,0.0,0.0,8,0.944
4473,0.11697793006896973,0.0,2.2338833560731075e-10,7.367530088231433e-06,0.0,0.0,0.0,8,0.946
4474,0.11696998029947281,0.0,2.1936734373451117e-10,7.367522812273819e-06,0.0,0.0,0.0,8,0.948
4475,0.11696214228868484,0.0,2.1541873840291714e-10,7.367515536316205e-06,0.0,0.0,0.0,8,0.95
4476,0.11695448309183121,0.0,2.1154120122268694e-10,7.367508260358591e-06,0.0,0.0,0.0,8,0.952
4477,0.11694694310426712,0.0,2.0773345543734223e-10,7.3675009844009764e-06,0.0,0.0,0.0,8,0.954
4478,0.11693955957889557,0.0,2.0399425204598032e-10,7.367493708443362e-06,0.0,0.0,0.0,8,0.956
4479,0.11693231016397476,0.0,2.003223559254863e-10,7.367486432485748e-06,0.0,0.0,0.0,8,0.958
