pulse_width,frequency,train_duration,charge_per_phase,proportion_phosphene_perception,label,amplitude,charge_per_trial,duty_cycle,corrected_duration,total_charge_loss_,total_effective_charge_,max_activation_,estimated_proportion_phosphene_perception_
0.0001,300.0,0.166,0.0,0.0,fig2A,0.0,0.0,0.030000000000000002,0.004980000000000001,1.1902200000000002e-07,-1.1902200000000002e-07,0.0,0.0867197656959966
0.0001,300.0,0.166,1e-09,0.0,fig2A,1e-05,4.980000000000001e-08,0.030000000000000002,0.004980000000000001,1.1902200000000002e-07,-6.922200000000001e-08,0.0,0.0867197656959966
0.0001,300.0,0.166,2e-09,0.1,fig2A,2e-05,9.960000000000002e-08,0.030000000000000002,0.004980000000000001,1.1902200000000002e-07,-1.9422e-08,0.0,0.0867197656959966
0.0001,300.0,0.166,3e-09,0.0,fig2A,2.9999999999999997e-05,1.494e-07,0.030000000000000002,0.004980000000000001,1.1902200000000002e-07,3.037799999999998e-08,1.5144970330690746e-08,0.1280358815779662
0.0001,300.0,0.166,4e-09,0.0,fig2A,4e-05,1.9920000000000004e-07,0.030000000000000002,0.004980000000000001,1.1902200000000002e-07,8.017800000000002e-08,3.997279054493789e-08,0.22182732019705487
0.0001,300.0,0.166,5e-09,0.2,fig2A,4.9999999999999996e-05,2.49e-07,0.030000000000000002,0.004980000000000001,1.1902200000000002e-07,1.29978e-07,6.480061075918499e-08,0.3459241518039572
0.0001,300.0,0.166,6.000000000000001e-09,0.3,fig2A,6.000000000000001e-05,2.9880000000000006e-07,0.030000000000000002,0.004980000000000001,1.1902200000000002e-07,1.7977800000000004e-07,8.962843097343222e-08,0.4893656011198729
0.0001,300.0,0.166,7.0000000000000015e-09,0.3,fig2A,7.000000000000001e-05,3.4860000000000014e-07,0.030000000000000002,0.004980000000000001,1.1902200000000002e-07,2.2957800000000013e-07,1.144562511876793e-07,0.6342115801378352
0.0001,300.0,0.166,8e-09,0.6,fig2A,8e-05,3.9840000000000007e-07,0.030000000000000002,0.004980000000000001,1.1902200000000002e-07,2.7937800000000005e-07,1.3928407140192636e-07,0.7619895900272038
0.0001,300.0,0.166,9.000000000000001e-09,0.8,fig2A,9e-05,4.482000000000001e-07,0.030000000000000002,0.004980000000000001,1.1902200000000002e-07,3.291780000000001e-07,1.6411189161617368e-07,0.8604638078331787
0.0001,300.0,0.166,1e-08,0.7,fig2A,9.999999999999999e-05,4.98e-07,0.030000000000000002,0.004980000000000001,1.1902200000000002e-07,3.78978e-07,1.889397118304205e-07,0.926762248889936
0.00017,300.0,0.166,0.0,0.0,fig2A,0.0,0.0,0.051000000000000004,0.008466000000000001,2.0233740000000002e-07,-2.0233740000000002e-07,0.0,0.0867197656959966
0.00017,300.0,0.166,2e-09,0.0,fig2A,1.1764705882352942e-05,9.960000000000002e-08,0.051000000000000004,0.008466000000000001,2.0233740000000002e-07,-1.027374e-07,0.0,0.0867197656959966
0.00017,300.0,0.166,4e-09,0.1,fig2A,2.3529411764705884e-05,1.9920000000000004e-07,0.051000000000000004,0.008466000000000001,2.0233740000000002e-07,-3.137399999999979e-09,0.0,0.0867197656959966
0.00017,300.0,0.166,6.000000000000001e-09,0.3,fig2A,3.529411764705883e-05,2.9880000000000006e-07,0.051000000000000004,0.008466000000000001,2.0233740000000002e-07,9.646260000000004e-08,4.669702679622739e-08,0.2527336912506984
0.00017,300.0,0.166,7.0000000000000015e-09,0.5,fig2A,4.11764705882353e-05,3.4860000000000014e-07,0.051000000000000004,0.008466000000000001,2.0233740000000002e-07,1.4626260000000013e-07,7.080493944270517e-08,0.37944335911403837
0.00017,300.0,0.166,8e-09,0.9,fig2A,4.705882352941177e-05,3.9840000000000007e-07,0.051000000000000004,0.008466000000000001,2.0233740000000002e-07,1.9606260000000006e-07,9.491285208918298e-08,0.520745949239659
0.00017,300.0,0.166,1e-08,0.86,fig2A,5.88235294117647e-05,4.98e-07,0.051000000000000004,0.008466000000000001,2.0233740000000002e-07,2.9566260000000005e-07,1.4312867738213855e-07,0.779339267855595
0.00017,300.0,0.166,1.2000000000000002e-08,0.8,fig2A,7.058823529411765e-05,5.976000000000001e-07,0.051000000000000004,0.008466000000000001,2.0233740000000002e-07,3.952626000000001e-07,1.9134450267509396e-07,0.931611554352363
0.00017,300.0,0.166,1.4e-08,1.0,fig2A,8.235294117647058e-05,6.972e-07,0.051000000000000004,0.008466000000000001,2.0233740000000002e-07,4.948626e-07,2.395603279680495e-07,0.9863023704047419
0.00017,300.0,0.166,1.6e-08,1.0,fig2A,9.411764705882353e-05,7.968000000000001e-07,0.051000000000000004,0.008466000000000001,2.0233740000000002e-07,5.944626000000002e-07,2.87776153261005e-07,0.9982709381123093
0.00017,300.0,0.166,1.8000000000000002e-08,1.0,fig2A,0.00010588235294117647,8.964000000000002e-07,0.051000000000000004,0.008466000000000001,2.0233740000000002e-07,6.940626000000002e-07,3.3599197855396046e-07,0.9998645859936205
0.0004,300.0,0.166,0.0,0.0,fig2A,0.0,0.0,0.12000000000000001,0.019920000000000004,4.760880000000001e-07,-4.760880000000001e-07,0.0,0.0867197656959966
0.0004,300.0,0.166,4e-09,0.1,fig2A,1e-05,1.9920000000000004e-07,0.12000000000000001,0.019920000000000004,4.760880000000001e-07,-2.7688800000000004e-07,0.0,0.0867197656959966
0.0004,300.0,0.166,8e-09,0.0,fig2A,2e-05,3.9840000000000007e-07,0.12000000000000001,0.019920000000000004,4.760880000000001e-07,-7.7688e-08,0.0,0.0867197656959966
0.0004,300.0,0.166,1.2000000000000002e-08,0.3,fig2A,3.0000000000000004e-05,5.976000000000001e-07,0.12000000000000001,0.019920000000000004,4.760880000000001e-07,1.2151200000000004e-07,5.346728737875494e-08,0.28600213097200555
0.0004,300.0,0.166,1.6e-08,0.7,fig2A,4e-05,7.968000000000001e-07,0.12000000000000001,0.019920000000000004,4.760880000000001e-07,3.2071200000000007e-07,1.4111857816359895e-07,0.7703600402076314
0.0004,300.0,0.166,2e-08,1.0,fig2A,4.9999999999999996e-05,9.96e-07,0.12000000000000001,0.019920000000000004,4.760880000000001e-07,5.19912e-07,2.2876986894844315e-07,0.979580868414702
0.0004,300.0,0.166,2.4000000000000003e-08,1.0,fig2A,6.000000000000001e-05,1.1952000000000002e-06,0.12000000000000001,0.019920000000000004,4.760880000000001e-07,7.191120000000001e-07,3.164211597332871e-07,0.9995963848801009
0.0004,300.0,0.166,2.8000000000000006e-08,0.9,fig2A,7.000000000000001e-05,1.3944000000000006e-06,0.12000000000000001,0.019920000000000004,4.760880000000001e-07,9.183120000000005e-07,4.0407245051813136e-07,0.9999983835436003
0.0004,300.0,0.166,3.6000000000000005e-08,1.0,fig2A,9e-05,1.7928000000000004e-06,0.12000000000000001,0.019920000000000004,4.760880000000001e-07,1.3167120000000004e-06,5.793750320878197e-07,0.9999999999998145
0.0004,300.0,0.166,4e-08,1.0,fig2A,9.999999999999999e-05,1.992e-06,0.12000000000000001,0.019920000000000004,4.760880000000001e-07,1.515912e-06,6.670263228726631e-07,1.0
0.0008,300.0,0.166,0.0,0.1,fig2A,0.0,0.0,0.24000000000000002,0.03984000000000001,9.521760000000001e-07,-9.521760000000001e-07,0.0,0.0867197656959966
0.0008,300.0,0.166,8e-09,0.1,fig2A,1e-05,3.9840000000000007e-07,0.24000000000000002,0.03984000000000001,9.521760000000001e-07,-5.537760000000001e-07,0.0,0.0867197656959966
0.0008,300.0,0.166,1.6e-08,0.2,fig2A,2e-05,7.968000000000001e-07,0.24000000000000002,0.03984000000000001,9.521760000000001e-07,-1.55376e-07,0.0,0.0867197656959966
0.0008,300.0,0.166,2.4000000000000003e-08,0.8,fig2A,3.0000000000000004e-05,1.1952000000000002e-06,0.24000000000000002,0.03984000000000001,9.521760000000001e-07,2.4302400000000007e-07,9.09873095528046e-08,0.49743648497167325
0.0008,300.0,0.166,3.2e-08,0.8,fig2A,4e-05,1.5936000000000003e-06,0.24000000000000002,0.03984000000000001,9.521760000000001e-07,6.414240000000001e-07,2.4014683340986113e-07,0.9866052836974184
0.0008,300.0,0.166,4e-08,0.9,fig2A,4.9999999999999996e-05,1.992e-06,0.24000000000000002,0.03984000000000001,9.521760000000001e-07,1.039824e-06,3.893063572669175e-07,0.9999954085612709
0.00017,100.0,0.166,3.5e-09,0.0,fig2B,2.0588235294117645e-05,5.81e-08,0.017,0.0028220000000000003,6.744580000000001e-08,-9.345800000000012e-09,0.0,0.0867197656959966
0.00017,100.0,0.166,5e-09,0.0,fig2B,2.941176470588235e-05,8.3e-08,0.017,0.0028220000000000003,6.744580000000001e-08,1.5554199999999992e-08,7.89777509547485e-09,0.10681675276179081
0.00017,100.0,0.166,7.0000000000000015e-09,0.0,fig2B,4.11764705882353e-05,1.1620000000000003e-07,0.017,0.0028220000000000003,6.744580000000001e-08,4.8754200000000025e-08,2.475535267386302e-08,0.1604462790385563
0.00017,100.0,0.166,8.5e-09,0.4,fig2B,4.9999999999999996e-05,1.411e-07,0.017,0.0028220000000000003,6.744580000000001e-08,7.36542e-08,3.739853585765414e-08,0.2105924460198561
0.00017,100.0,0.166,1e-08,0.3,fig2B,5.88235294117647e-05,1.66e-07,0.017,0.0028220000000000003,6.744580000000001e-08,9.85542e-08,5.004171904144524e-08,0.2689112274553897
0.00017,100.0,0.166,1.2000000000000002e-08,0.4,fig2B,7.058823529411765e-05,1.9920000000000004e-07,0.017,0.0028220000000000003,6.744580000000001e-08,1.3175420000000004e-07,6.689929661983342e-08,0.35751897348827966
0.00017,100.0,0.166,1.35e-08,0.4,fig2B,7.941176470588235e-05,2.241e-07,0.017,0.0028220000000000003,6.744580000000001e-08,1.566542e-07,7.954247980362458e-08,0.4298169069802232
0.00017,100.0,0.166,1.5000000000000002e-08,0.7,fig2B,8.823529411764706e-05,2.4900000000000007e-07,0.017,0.0028220000000000003,6.744580000000001e-08,1.8155420000000008e-07,9.21856629874156e-08,0.5045549291996386
0.00017,100.0,0.166,1.7e-08,0.5,fig2B,9.999999999999999e-05,2.822e-07,0.017,0.0028220000000000003,6.744580000000001e-08,2.1475420000000003e-07,1.0904324056580378e-07,0.6035044659282586
0.00017,200.0,0.166,0.0,0.2,fig2B,0.0,0.0,0.034,0.005644000000000001,1.3489160000000002e-07,-1.3489160000000002e-07,0.0,0.0867197656959966
0.00017,200.0,0.166,1.8e-09,0.2,fig2B,1.0588235294117646e-05,5.976e-08,0.034,0.005644000000000001,1.3489160000000002e-07,-7.513160000000002e-08,0.0,0.0867197656959966
0.00017,200.0,0.166,3.5e-09,0.0,fig2B,2.0588235294117645e-05,1.162e-07,0.034,0.005644000000000001,1.3489160000000002e-07,-1.8691600000000024e-08,0.0,0.0867197656959966
0.00017,200.0,0.166,5e-09,0.0,fig2B,2.941176470588235e-05,1.66e-07,0.034,0.005644000000000001,1.3489160000000002e-07,3.1108399999999985e-08,1.5422228095881384e-08,0.12890207805912351
0.00017,200.0,0.166,7.0000000000000015e-09,0.1,fig2B,4.11764705882353e-05,2.3240000000000007e-07,0.034,0.005644000000000001,1.3489160000000002e-07,9.750840000000005e-08,4.83405377989367e-08,0.260618449024441
0.00017,200.0,0.166,8.5e-09,0.6,fig2B,4.9999999999999996e-05,2.822e-07,0.034,0.005644000000000001,1.3489160000000002e-07,1.473084e-07,7.302927007622809e-08,0.39211048580711966
0.00017,200.0,0.166,1e-08,0.9,fig2B,5.88235294117647e-05,3.32e-07,0.034,0.005644000000000001,1.3489160000000002e-07,1.971084e-07,9.771800235351957e-08,0.5373639076902416
0.00017,200.0,0.166,1.2000000000000002e-08,0.65,fig2B,7.058823529411765e-05,3.9840000000000007e-07,0.034,0.005644000000000001,1.3489160000000002e-07,2.635084000000001e-07,1.3063631205657484e-07,0.720373440829253
0.00017,200.0,0.166,1.35e-08,0.7,fig2B,7.941176470588235e-05,4.482e-07,0.034,0.005644000000000001,1.3489160000000002e-07,3.133084e-07,1.5532504433386616e-07,0.8293420911412869
0.00017,200.0,0.166,1.5000000000000002e-08,0.75,fig2B,8.823529411764706e-05,4.980000000000001e-07,0.034,0.005644000000000001,1.3489160000000002e-07,3.6310840000000015e-07,1.8001377661115774e-07,0.9064465212009278
0.00017,200.0,0.166,1.7e-08,1.0,fig2B,9.999999999999999e-05,5.644e-07,0.034,0.005644000000000001,1.3489160000000002e-07,4.2950840000000006e-07,2.1293208631421305e-07,0.9648010876923947
0.00017,300.0,0.166,0.0,0.0,fig2B,0.0,0.0,0.051000000000000004,0.008466000000000001,2.0233740000000002e-07,-2.0233740000000002e-07,0.0,0.0867197656959966
0.00017,300.0,0.166,1.8e-09,0.0,fig2B,1.0588235294117646e-05,8.964000000000001e-08,0.051000000000000004,0.008466000000000001,2.0233740000000002e-07,-1.126974e-07,0.0,0.0867197656959966
0.00017,300.0,0.166,3.5e-09,0.1,fig2B,2.0588235294117645e-05,1.743e-07,0.051000000000000004,0.008466000000000001,2.0233740000000002e-07,-2.8037400000000023e-08,0.0,0.0867197656959966
