pulse_width,frequency,train_duration,charge_per_phase,proportion_phosphene_perception,label
0.00017,300.0,0.166,0.0,0.0,fig2C
0.00017,300.0,0.166,1.7000000000000001e-09,0.0,fig2C
0.00017,300.0,0.166,3.4000000000000003e-09,0.1,fig2C
0.00017,300.0,0.166,5.1e-09,0.3,fig2C
0.00017,300.0,0.166,6.8000000000000005e-09,0.5,fig2C
0.00017,300.0,0.166,8.5e-09,0.9,fig2C
0.00017,300.0,0.166,1.02e-08,0.88,fig2C
0.00017,300.0,0.166,1.19e-08,0.8,fig2C
0.00017,300.0,0.166,1.3600000000000001e-08,1.0,fig2C
0.00017,300.0,0.166,1.53e-08,1.0,fig2C
0.00017,300.0,0.166,1.7e-08,1.0,fig2C
