time,y_el_2,y_el_21,y_el_25,y_el_28,y_el_3,y_mean,y_std,y_sem,conf_95_lower,conf_95_upper
0,1.0,1.0,1.0,,,1.0,0.0,0.0,0.9999999999979959,1.000000000002004
4,0.8800000000000001,0.7,1.0,,,0.86,0.15099668870541502,0.0871779788708135,0.685291426353184,1.034708573646816
8,1.06,0.6799999999999999,0.9199999999999999,,,0.8866666666666667,0.19218047073866104,0.11095544651395496,0.6643069830649526,1.1090263502683808
12,1.0,0.64,0.9,,,0.8466666666666667,0.18583146486355137,0.10728984626287387,0.6316530101203337,1.0616803232129997
16,0.8800000000000001,0.64,0.8,,,0.7733333333333334,0.12220201853215577,0.07055336829505578,0.631941223760491,0.9147254429061759
20,0.82,0.64,0.8400000000000001,,,0.7666666666666666,0.11015141094572205,0.06359594676112972,0.6392175414137424,0.8941157919195908
24,0.82,0.6,0.7,,,0.7066666666666667,0.11015141094572202,0.0635959467611297,0.5792175414137426,0.8341157919195907
28,0.76,0.62,0.76,,,0.7133333333333333,0.08082903768654762,0.046666666666666676,0.6198112435135208,0.8068554231531457
32,0.76,0.62,0.6,,,0.66,0.08717797887081348,0.05033222956847167,0.5591319579744283,0.7608680420255718
36,0.74,0.6,0.6599999999999999,,,0.6666666666666666,0.07023769168568493,0.04055175020198814,0.5853991432790984,0.7479341900542349
40,0.7,0.6,0.6799999999999999,,,0.6599999999999999,0.0529150262212918,0.03055050463303893,0.5987754206064865,0.7212245793935134
44,0.7,0.58,0.6799999999999999,,,0.6533333333333332,0.06429100507328635,0.03711842908553347,0.5789463392134746,0.7277203274531918
48,0.6799999999999999,0.54,0.6799999999999999,,,0.6333333333333333,0.08082903768654755,0.046666666666666634,0.5398112435135208,0.7268554231531458
52,0.6799999999999999,0.52,0.72,,,0.64,0.10583005244258359,0.06110100926607785,0.5175508412149772,0.7624491587850228
56,0.6799999999999999,0.5,0.6599999999999999,,,0.6133333333333333,0.09865765724632491,0.056960024968783524,0.499182892520861,0.7274837741458056
60,0.64,0.5,0.6,,,0.5800000000000001,0.0721110255092798,0.04163331998932266,0.49656496232396047,0.6634350376760397
64,0.64,0.5,0.64,,,0.5933333333333334,0.08082903768654762,0.046666666666666676,0.49981124351352085,0.6868554231531458
68,0.64,0.48,0.64,,,0.5866666666666668,0.09237604307034014,0.05333333333333335,0.47978427830145304,0.6935490550318805
72,0.64,0.48,0.6,,,0.5733333333333334,0.08326663997864532,0.048074017006186534,0.4769908504094273,0.6696758162572394
76,0.6,0.45999999999999996,0.6599999999999999,,,0.5733333333333334,0.10263202878893767,0.059254629448770586,0.4545844023864247,0.692082264280242
80,0.6,0.44000000000000006,0.76,,,0.6,0.15999999999999998,0.09237604307034011,0.4148742729186083,0.7851257270813916
84,0.6,0.44000000000000006,0.58,,,0.54,0.08717797887081341,0.05033222956847163,0.43913195797442833,0.6408680420255717
88,0.5599999999999999,0.44000000000000006,0.54,,,0.5133333333333333,0.06429100507328632,0.03711842908553346,0.4389463392134747,0.5877203274531919
92,0.54,0.42000000000000004,0.5,,,0.48666666666666664,0.06110100926607786,0.035276684147527874,0.41597061187924345,0.5573627214540898
96,0.54,0.4,0.5,,,0.48,0.0721110255092798,0.04163331998932266,0.3965649623239604,0.5634350376760396
100,0.52,0.38,0.52,,,0.47333333333333333,0.08082903768654762,0.046666666666666676,0.3798112435135208,0.5668554231531459
104,0.52,0.38,0.52,,,0.47333333333333333,0.08082903768654762,0.046666666666666676,0.3798112435135208,0.5668554231531459
108,0.48,0.38,0.52,,,0.45999999999999996,0.0721110255092798,0.04163331998932266,0.37656496232396036,0.5434350376760396
112,0.48,0.36,0.5599999999999999,,,0.4666666666666666,0.1006644591369433,0.0581186525805423,0.35019428423478793,0.5831390490985453
116,0.48,0.36,0.48,,,0.43999999999999995,0.06928203230275509,0.04,0.3598382087255887,0.5201617912744112
120,0.45999999999999996,0.33999999999999997,0.48,,,0.4266666666666666,0.07571877794400365,0.04371625682868001,0.3390573302868727,0.5142760030464605
124,0.44000000000000006,0.33999999999999997,0.44000000000000006,,,0.40666666666666673,0.05773502691896263,0.03333333333333337,0.3398651739376566,0.4734681593956769
128,0.42000000000000004,0.32,0.44000000000000006,,,0.39333333333333337,0.06429100507328639,0.03711842908553349,0.3189463392134747,0.46772032745319203
132,0.42000000000000004,0.32,0.44000000000000006,,,0.39333333333333337,0.06429100507328639,0.03711842908553349,0.3189463392134747,0.46772032745319203
136,0.42000000000000004,0.32,0.42000000000000004,,,0.3866666666666667,0.057735026918962595,0.03333333333333335,0.3198651739376566,0.4534681593956768
140,0.42000000000000004,0.27999999999999997,0.44000000000000006,,,0.38000000000000006,0.08717797887081352,0.0503322295684717,0.2791319579744282,0.48086804202557193
144,0.42000000000000004,0.27999999999999997,0.42000000000000004,,,0.37333333333333335,0.08082903768654764,0.04666666666666669,0.2798112435135208,0.4668554231531459
148,0.4,0.27999999999999997,0.4,,,0.36000000000000004,0.06928203230275512,0.04000000000000002,0.27983820872558873,0.44016179127441135
152,0.4,0.26,0.4,,,0.35333333333333333,0.08082903768654762,0.046666666666666676,0.2598112435135208,0.44685542315314586
156,0.38,0.26,0.36,,,0.3333333333333333,0.06429100507328636,0.03711842908553348,0.25894633921347465,0.407720327453192
160,0.38,0.26,0.38,,,0.34,0.06928203230275509,0.04,0.2598382087255887,0.42016179127441133
164,0.36,0.26,0.36,,,0.32666666666666666,0.05773502691896256,0.033333333333333326,0.2598651739376566,0.3934681593956767
168,0.36,0.26,0.36,,,0.32666666666666666,0.05773502691896256,0.033333333333333326,0.2598651739376566,0.3934681593956767
172,0.36,0.26,0.36,,,0.32666666666666666,0.05773502691896256,0.033333333333333326,0.2598651739376566,0.3934681593956767
176,0.33999999999999997,0.26,0.33999999999999997,,,0.3133333333333333,0.046188021535170036,0.026666666666666655,0.2598921391497245,0.3667745275169421
180,0.33999999999999997,0.24,0.36,,,0.3133333333333333,0.06429100507328636,0.03711842908553348,0.23894633921347463,0.38772032745319196
184,0.32,0.24,,,,0.28,0.05656854249492382,0.04000000000000001,0.19983820872558872,0.36016179127441134
188,0.32,0.24,,,,0.28,0.05656854249492382,0.04000000000000001,0.19983820872558872,0.36016179127441134
192,0.3,0.24,,,,0.27,0.042426406871192854,0.03,0.20987865654369053,0.3301213434563095
196,0.3,0.24,,,,0.27,0.042426406871192854,0.03,0.20987865654369053,0.3301213434563095
200,,0.26,,0.48,0.4,0.38000000000000006,0.11135528725660043,0.06429100507328636,0.25115794676354464,0.5088420532364555
400,,0.38,,0.52,0.76,0.5533333333333333,0.19218047073866099,0.11095544651395492,0.3309736497316193,0.7756930169350473
600,,0.26,,0.33999999999999997,0.62,0.4066666666666667,0.18903262505010432,0.10913803695829934,0.18794915320137615,0.6253841801319572
800,,0.33999999999999997,,0.58,0.62,0.5133333333333333,0.1514375558880073,0.08743251365736002,0.3381146605757495,0.6885520060909172
1000,,0.24,,0.32,0.52,0.36000000000000004,0.1442220510185596,0.08326663997864532,0.19312992464992484,0.5268700753500752
1200,,0.22000000000000003,,0.42000000000000004,0.58,0.40666666666666673,0.18036999011291574,0.10413666234542204,0.19797213189619087,0.6153612014371426
